age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_shopping_activity,online_activity_share,store_activity_share,income_group
69,135721.0,4.3,11,3.1,7,4,2,14,108383.0,117518.0,10,5,3,9,9,6,6,4,5,8,7,Female,Tier 1,Store,16,0.125,0.875,Upper-Middle
74,108220.0,5.7,1,1.9,4,7,32,16,45068.0,102512.0,9,9,1,2,3,4,4,6,3,2,7,Other,Tier 1,Store,48,0.6666666666666666,0.3333333333333333,Lower-Middle
20,41393.0,6.1,4,2.7,8,5,6,8,5913.0,42042.0,1,2,3,8,9,1,4,10,5,5,3,Other,Tier 1,Store,14,0.42857142857142855,0.5714285714285714,Low
54,72480.0,4.6,11,3.5,8,5,29,3,52392.0,93220.0,4,6,3,3,6,8,3,10,10,7,1,Other,Tier 1,Store,32,0.90625,0.09375,Lower-Middle
68,132243.0,3.7,10,2.8,1,7,26,15,133331.0,123696.0,6,7,3,8,4,5,7,9,2,7,1,Male,Tier 2,Store,41,0.6341463414634146,0.36585365853658536,Upper-Middle
24,103290.0,6.8,3,1.3,1,9,37,13,33872.0,73035.0,4,8,5,2,7,1,5,5,7,1,6,Other,Tier 2,Store,50,0.74,0.26,Lower-Middle
38,232407.0,9.5,13,2.4,4,4,28,0,52668.0,123722.0,2,3,3,3,7,2,8,6,9,5,8,Male,Tier 3,Store,28,1.0,0.0,High
26,119263.0,6.1,2,2.2,2,9,30,1,23421.0,1819.04,2,4,6,4,4,7,8,2,5,5,8,Other,Tier 3,Online,31,0.967741935483871,0.03225806451612903,Lower-Middle
56,155179.0,5.4,7,1.9,3,9,0,12,52138.0,79761.0,2,0,2,10,3,10,1,7,9,3,4,Female,Tier 2,Store,12,0.0,1.0,Upper-Middle
35,20993.0,5.2,10,1.4,10,8,40,7,24961.0,12163.0,7,4,7,10,4,9,5,4,7,2,2,Male,Tier 1,Online,47,0.851063829787234,0.14893617021276595,Low
21,242413.0,3.8,9,3.6,2,1,42,8,112610.0,37711.0,5,9,6,9,6,6,4,3,4,4,10,Female,Tier 1,Store,50,0.84,0.16,High
42,108650.0,4.7,1,3.1,10,10,26,9,103258.0,140980.0,2,6,2,3,7,10,6,1,5,3,9,Other,Tier 2,Store,35,0.7428571428571429,0.2571428571428571,Lower-Middle
77,247701.96000000005,8.3,12,3.1,9,9,26,19,10552.0,143281.0,9,1,6,4,4,4,7,1,7,10,1,Female,Tier 3,Store,45,0.5777777777777777,0.4222222222222222,High
31,132595.0,1.9,7,0.1,6,3,28,9,70970.0,20249.0,2,4,2,4,8,3,5,6,6,2,10,Male,Tier 1,Store,37,0.7567567567567568,0.24324324324324326,Upper-Middle
67,67066.0,6.1,11,2.0,7,8,4,15,131931.0,84210.0,7,8,6,10,4,1,5,2,6,1,9,Female,Tier 2,Store,19,0.21052631578947367,0.7894736842105263,Low
75,126850.0,6.1,12,4.1,6,5,2,8,63618.0,6736.0,1,2,7,3,10,4,9,9,8,4,4,Male,Tier 1,Store,10,0.2,0.8,Lower-Middle
26,57942.0,6.2,1,3.0,1,6,28,5,42865.0,74798.0,6,1,4,9,6,3,8,9,4,4,4,Male,Tier 3,Store,33,0.8484848484848485,0.15151515151515152,Low
43,31138.0,7.5,5,1.0,5,3,40,11,20700.0,93830.0,6,4,4,10,5,3,8,3,8,3,5,Other,Tier 2,Store,51,0.7843137254901961,0.21568627450980393,Low
70,133558.0,6.1,1,4.7,3,7,38,16,112780.0,45820.0,5,8,3,4,1,2,5,9,5,3,10,Other,Tier 1,Store,54,0.7037037037037037,0.2962962962962963,Upper-Middle
19,190599.0,5.1,3,0.0,10,2,12,9,45262.0,75090.0,7,9,6,8,7,10,1,8,3,9,6,Male,Tier 3,Store,21,0.5714285714285714,0.42857142857142855,High
37,24190.0,4.7,8,2.7,8,3,32,10,95314.0,64682.0,10,3,1,5,3,2,10,10,7,1,6,Female,Tier 3,Store,42,0.7619047619047619,0.23809523809523808,Low
45,107259.0,8.6,13,4.7,7,2,19,8,121443.0,2632.0,8,0,4,6,9,3,8,8,3,10,7,Female,Tier 3,Online,27,0.7037037037037037,0.2962962962962963,Lower-Middle
64,93422.0,8.1,4,0.5,9,9,2,17,12681.0,73056.0,2,5,5,3,10,7,2,7,1,10,10,Other,Tier 3,Store,19,0.10526315789473684,0.8947368421052632,Lower-Middle
77,201770.0,10.7,12,1.9,1,3,5,2,14174.0,80428.0,3,8,7,9,6,3,3,5,7,8,2,Male,Tier 3,Store,7,0.7142857142857143,0.2857142857142857,High
24,97315.0,5.4,1,0.7,2,8,42,4,81080.0,1819.04,8,3,2,4,5,1,3,4,4,7,1,Male,Tier 2,Online,46,0.9130434782608695,0.08695652173913043,Lower-Middle
61,239782.0,4.7,1,4.3,2,6,16,4,40995.0,33647.0,5,8,3,6,6,5,3,5,3,9,7,Male,Tier 3,Store,20,0.8,0.2,High
78,44086.0,6.9,8,1.4,1,1,46,4,85145.0,53410.0,6,6,5,6,7,8,5,9,4,10,5,Other,Tier 2,Store,50,0.92,0.08,Low
25,163394.0,6.9,14,3.8,8,6,3,10,115514.0,107200.0,4,0,5,8,5,8,8,4,4,4,6,Male,Tier 1,Store,13,0.23076923076923078,0.7692307692307693,Upper-Middle
64,140604.0,7.3,8,4.3,4,8,32,3,25654.0,113813.0,1,5,1,10,5,5,1,9,6,2,5,Other,Tier 3,Store,35,0.9142857142857143,0.08571428571428572,Upper-Middle
52,115814.0,7.7,4,0.8,7,10,32,4,46668.0,53060.0,8,1,6,8,4,8,8,9,6,10,8,Female,Tier 2,Store,36,0.8888888888888888,0.1111111111111111,Lower-Middle
31,134324.0,7.3,4,0.6,10,3,5,18,53741.0,92824.0,4,7,6,6,4,4,6,10,3,2,3,Female,Tier 2,Store,23,0.21739130434782608,0.782608695652174,Upper-Middle
34,229641.0,8.2,10,3.1,1,7,40,10,127570.0,40905.0,9,6,7,1,3,3,10,6,6,8,1,Male,Tier 2,Store,50,0.8,0.2,High
53,231682.0,8.4,11,3.5,8,6,13,11,6497.0,6128.0,2,6,2,8,8,2,1,5,1,5,1,Male,Tier 3,Online,24,0.5416666666666666,0.4583333333333333,High
67,143921.0,8.5,2,2.4,8,1,45,16,98084.0,69949.0,8,3,7,7,6,6,8,2,3,5,2,Female,Tier 3,Store,61,0.7377049180327869,0.26229508196721313,Upper-Middle
57,18435.0,1.5,2,2.5,10,2,6,14,42909.0,146654.0,9,0,2,5,7,8,6,4,10,2,2,Female,Tier 2,Store,20,0.3,0.7,Low
21,116505.0,6.5,12,4.4,3,5,5,1,127783.0,33220.0,6,6,4,8,3,8,1,3,7,7,4,Female,Tier 3,Store,6,0.8333333333333334,0.16666666666666666,Lower-Middle
19,68331.0,4.2,6,2.2,9,7,2,0,46694.0,136414.0,8,4,4,6,9,6,1,10,4,10,7,Female,Tier 3,Store,2,1.0,0.0,Low
79,175014.0,8.1,8,4.3,5,4,36,5,39103.0,143083.0,4,4,5,1,10,7,4,9,6,9,3,Male,Tier 1,Store,41,0.8780487804878049,0.12195121951219512,Upper-Middle
23,205707.0,1.4,7,1.8,5,6,21,0,99870.0,77294.0,10,8,5,4,7,2,10,4,7,3,2,Other,Tier 3,Store,21,1.0,0.0,High
71,175131.0,8.9,7,5.5,5,2,37,14,75058.0,101241.0,1,2,5,4,6,5,3,6,8,7,7,Other,Tier 1,Store,51,0.7254901960784313,0.27450980392156865,Upper-Middle
59,203629.0,4.3,3,1.3,1,5,7,1,116877.0,85088.0,2,4,2,1,4,4,3,6,10,1,3,Male,Tier 2,Store,8,0.875,0.125,High
21,128457.0,3.8,12,4.0,10,10,23,7,60914.0,86637.0,1,9,5,10,1,2,7,2,10,6,4,Male,Tier 2,Store,30,0.7666666666666667,0.23333333333333334,Lower-Middle
71,67389.0,6.7,2,1.2,2,3,12,15,108663.0,12756.0,9,1,6,1,9,8,10,9,6,10,2,Other,Tier 3,Store,27,0.4444444444444444,0.5555555555555556,Low
46,68014.0,5.3,10,3.5,1,1,12,15,100090.0,14593.0,5,4,7,6,4,7,3,4,6,8,5,Female,Tier 1,Store,27,0.4444444444444444,0.5555555555555556,Low
35,178898.0,9.6,7,2.5,2,6,0,15,134009.0,122334.0,6,4,2,1,9,5,1,3,5,7,10,Male,Tier 1,Store,15,0.0,1.0,Upper-Middle
43,45297.0,8.7,4,2.9,9,9,40,19,133533.0,51599.0,8,1,4,8,4,10,2,2,5,8,10,Other,Tier 2,Store,59,0.6779661016949152,0.3220338983050847,Low
61,58890.0,5.0,1,3.4,9,10,35,18,54175.0,15079.0,9,8,1,2,8,5,7,10,3,2,10,Male,Tier 1,Hybrid,53,0.660377358490566,0.33962264150943394,Low
51,36322.0,8.1,1,2.8,5,8,31,1,89984.0,1819.04,3,2,4,3,10,7,5,8,4,3,7,Male,Tier 1,Online,32,0.96875,0.03125,Low
27,50739.0,4.9,4,2.7,4,4,4,19,96448.0,40057.0,2,0,2,3,2,9,10,4,10,6,1,Female,Tier 2,Store,23,0.17391304347826086,0.8260869565217391,Low
79,155791.0,4.9,5,0.1,2,8,48,13,88080.0,131816.0,3,3,2,4,8,5,10,10,3,6,10,Male,Tier 2,Store,61,0.7868852459016393,0.21311475409836064,Upper-Middle
53,94553.0,7.4,5,4.3,6,5,6,1,111721.0,12894.0,6,3,4,8,4,5,10,1,8,2,5,Male,Tier 3,Online,7,0.8571428571428571,0.14285714285714285,Lower-Middle
31,23314.0,8.9,1,4.5,9,3,49,18,12272.0,95966.0,1,4,4,3,8,1,8,7,10,1,10,Female,Tier 1,Store,67,0.7313432835820896,0.26865671641791045,Low
48,108831.0,5.1,3,2.4,8,4,44,1,132569.0,27317.0,2,2,2,1,4,1,6,10,4,4,2,Male,Tier 3,Store,45,0.9777777777777777,0.022222222222222223,Lower-Middle
65,90164.0,5.3,6,3.2,10,7,31,17,90211.0,118307.0,8,7,3,3,5,4,7,8,8,1,10,Female,Tier 1,Store,48,0.6458333333333334,0.3541666666666667,Lower-Middle
32,122658.0,6.6,10,4.3,4,5,27,16,31685.0,132793.0,8,6,4,9,4,5,8,1,2,5,3,Male,Tier 2,Store,43,0.627906976744186,0.37209302325581395,Lower-Middle
25,92028.0,4.2,7,3.3,6,4,32,18,65991.0,51025.0,6,0,5,9,3,2,8,4,9,7,9,Male,Tier 3,Store,50,0.64,0.36,Lower-Middle
31,51113.0,9.1,11,1.8,9,3,45,13,147375.0,78112.0,8,0,6,9,3,5,2,7,5,1,4,Male,Tier 3,Store,58,0.7758620689655172,0.22413793103448276,Low
40,132174.0,4.2,1,0.9,10,3,13,16,130017.0,1819.04,8,7,7,4,9,1,10,1,5,8,8,Male,Tier 2,Online,29,0.4482758620689655,0.5517241379310345,Upper-Middle
77,161429.0,4.7,8,3.3,10,10,12,15,78190.0,20030.0,5,4,4,10,8,4,6,10,6,5,3,Male,Tier 1,Store,27,0.4444444444444444,0.5555555555555556,Upper-Middle
74,244937.0,9.5,4,2.7,4,6,28,18,127092.0,79753.0,4,1,1,9,5,3,7,5,1,1,3,Other,Tier 2,Store,46,0.6086956521739131,0.391304347826087,High
79,35365.0,6.4,13,2.5,9,8,49,16,48155.0,140662.0,7,7,2,2,2,8,2,3,1,4,6,Female,Tier 3,Store,65,0.7538461538461538,0.24615384615384617,Low
57,54029.0,9.9,9,1.5,8,4,39,11,141672.0,134032.0,10,7,1,6,4,4,3,10,4,10,10,Male,Tier 2,Store,50,0.78,0.22,Low
38,17338.239999999998,5.6,11,2.1,3,1,0,3,33852.0,33315.0,1,6,1,3,6,8,1,1,10,4,6,Female,Tier 1,Store,3,0.0,1.0,Low
33,146042.0,10.7,11,2.9,9,4,46,7,5641.0,40673.0,7,6,3,2,6,2,1,3,7,2,1,Male,Tier 2,Store,53,0.8679245283018868,0.1320754716981132,Upper-Middle
62,220704.0,7.2,6,2.1,5,5,48,0,117780.0,144379.0,8,9,4,8,6,1,8,7,5,4,10,Other,Tier 1,Store,48,1.0,0.0,High
35,100474.0,4.5,1,2.5,1,8,48,13,87037.0,17572.0,3,1,5,8,3,1,9,7,1,3,2,Female,Tier 1,Store,61,0.7868852459016393,0.21311475409836064,Lower-Middle
64,93218.0,4.5,2,2.5,8,7,26,8,78000.0,97914.0,8,9,6,4,4,4,6,10,6,10,10,Male,Tier 1,Store,34,0.7647058823529411,0.23529411764705882,Lower-Middle
70,173571.0,3.1,3,3.4,5,2,29,17,133230.0,128907.0,6,3,4,7,6,4,7,1,5,5,10,Female,Tier 1,Store,46,0.6304347826086957,0.3695652173913043,Upper-Middle
41,143692.0,3.3,2,0.6,5,9,33,11,73094.0,91378.0,3,8,2,10,1,7,3,10,8,6,9,Other,Tier 3,Store,44,0.75,0.25,Upper-Middle
43,192229.0,4.7,10,2.0,2,3,45,1,37559.0,29767.0,6,8,4,7,9,2,2,5,9,6,1,Male,Tier 3,Store,46,0.9782608695652174,0.021739130434782608,High
42,202319.0,4.0,7,1.1,9,9,0,5,133247.0,126515.0,6,1,3,4,3,2,4,10,5,6,7,Other,Tier 2,Store,5,0.0,1.0,High
77,143411.0,1.4,12,2.7,6,1,33,4,20371.0,45220.0,4,9,5,5,7,2,4,9,8,3,2,Other,Tier 2,Store,37,0.8918918918918919,0.10810810810810811,Upper-Middle
77,187106.0,7.7,1,1.4,10,9,6,17,57614.0,75449.0,5,1,2,9,10,1,8,4,4,10,10,Male,Tier 1,Store,23,0.2608695652173913,0.7391304347826086,Upper-Middle
77,17338.239999999998,7.6,9,3.7,3,7,0,13,63404.0,86376.0,5,1,2,2,9,3,2,2,10,9,7,Male,Tier 1,Store,13,0.0,1.0,Low
62,244144.0,6.6,2,2.0,7,2,41,14,111401.0,132192.0,6,4,1,1,2,5,10,7,8,10,1,Other,Tier 3,Store,55,0.7454545454545455,0.2545454545454545,High
58,39596.0,3.7,4,1.8,2,10,17,12,20920.0,123720.0,6,7,2,2,10,2,8,8,1,3,4,Male,Tier 3,Store,29,0.5862068965517241,0.41379310344827586,Low
46,113185.0,9.3,8,1.4,7,7,34,8,78438.0,14175.0,3,2,3,3,6,3,4,1,4,8,8,Other,Tier 3,Online,42,0.8095238095238095,0.19047619047619047,Lower-Middle
32,26434.0,5.6,11,2.8,2,1,49,18,52711.0,92060.0,2,8,1,6,8,7,2,10,3,2,3,Male,Tier 1,Store,67,0.7313432835820896,0.26865671641791045,Low
62,73382.0,4.3,3,0.8,5,3,18,0,53242.0,76108.0,1,0,4,5,4,7,3,7,5,3,8,Female,Tier 2,Store,18,1.0,0.0,Lower-Middle
18,53098.0,6.5,9,2.4,10,7,12,7,124737.0,50307.0,1,4,7,3,1,7,9,9,5,8,5,Male,Tier 2,Store,19,0.631578947368421,0.3684210526315789,Low
42,19655.0,6.4,7,2.3,10,3,22,15,73916.0,25764.0,8,7,5,4,10,1,3,1,4,8,5,Male,Tier 1,Store,37,0.5945945945945946,0.40540540540540543,Low
24,98029.0,1.4,10,1.8,9,2,1,6,83480.0,30866.0,4,1,5,6,1,7,8,10,2,4,9,Other,Tier 1,Store,7,0.14285714285714285,0.8571428571428571,Lower-Middle
26,61228.0,5.9,12,2.8,9,5,2,15,144764.0,70719.0,5,5,2,4,2,4,4,7,2,6,1,Male,Tier 2,Store,17,0.11764705882352941,0.8823529411764706,Low
41,18771.0,6.2,12,1.9,6,3,21,12,100216.0,127455.0,8,2,7,6,10,7,3,8,8,1,9,Male,Tier 3,Store,33,0.6363636363636364,0.36363636363636365,Low
18,89099.0,5.2,3,2.9,3,9,35,12,52391.0,51551.0,10,8,5,4,1,4,10,8,9,9,4,Other,Tier 3,Store,47,0.7446808510638298,0.2553191489361702,Lower-Middle
61,135811.0,3.4,3,1.8,4,7,48,19,113169.0,80385.0,7,6,4,9,1,6,5,10,6,1,8,Female,Tier 2,Store,67,0.7164179104477612,0.2835820895522388,Upper-Middle
25,202871.0,3.4,5,1.5,4,1,7,18,110255.0,83619.0,4,8,7,4,5,5,6,1,3,5,4,Other,Tier 3,Store,25,0.28,0.72,High
41,77257.0,7.0,5,2.8,9,1,22,10,59559.0,20771.0,7,5,6,1,1,3,9,4,5,3,7,Other,Tier 3,Store,32,0.6875,0.3125,Lower-Middle
28,32558.0,7.5,10,3.5,4,6,7,15,43151.0,80138.0,3,8,5,2,1,1,2,3,5,1,3,Female,Tier 3,Store,22,0.3181818181818182,0.6818181818181818,Low
68,245540.0,5.1,5,5.5,4,4,24,8,50494.0,17187.0,6,1,7,3,10,5,8,8,10,9,6,Male,Tier 2,Store,32,0.75,0.25,High
34,73436.0,6.8,12,2.1,5,1,34,12,134725.0,106660.0,2,9,1,2,9,1,7,1,4,5,5,Male,Tier 3,Store,46,0.7391304347826086,0.2608695652173913,Lower-Middle
25,122779.0,5.1,13,3.5,6,9,46,18,145382.0,145371.0,6,1,2,6,8,4,8,4,6,4,7,Other,Tier 1,Store,64,0.71875,0.28125,Lower-Middle
52,139891.0,4.3,9,1.9,8,2,10,9,1878.92,86326.0,6,3,3,6,1,3,2,2,10,7,4,Female,Tier 1,Store,19,0.5263157894736842,0.47368421052631576,Upper-Middle
52,238175.0,6.4,9,3.5,1,1,40,6,80641.0,99481.0,3,4,5,9,7,3,6,2,10,1,1,Female,Tier 2,Store,46,0.8695652173913043,0.13043478260869565,High
50,47376.0,3.7,6,4.2,5,3,42,16,70398.0,58088.0,10,9,5,3,5,4,7,6,1,9,5,Female,Tier 3,Store,58,0.7241379310344828,0.27586206896551724,Low
76,233530.0,9.8,11,2.7,9,10,5,9,113422.0,96655.0,9,8,2,5,7,9,3,2,1,5,5,Female,Tier 2,Store,14,0.35714285714285715,0.6428571428571429,High
